138,LPIN,Multi Prima Sejahtera Tbk,
136,LMSH,Lionmesh Prima Tbk.,
135,LMPI,Langgeng Makmur Industri Tbk.,
134,LION,Lion Metal Works Tbk.,
133,KLBF,Kalbe Farma Tbk.,
131,KIJA,Kawasan Industri Jababeka Tbk.,
130,KICI,Kedaung Indah Can Tbk,
128,KBLM,Kabelindo Murni Tbk.,
127,KBLI,KMI Wire & Cable Tbk.,
126,KARW,ICTSI Jasa Prima Tbk.,
123,JPRS,Jaya Pari Steel Tbk,
121,JECC,Jembo Cable Company Tbk.,
119,ISAT,Indosat Tbk.,
118,INTP,Indocement Tunggal Prakarsa Tbk.,
117,INTD,Inter Delta Tbk,
116,INTA,Intraco Penta Tbk.,
113,INPC,Bank Artha Graha Internasional Tbk.,
112,INKP,Indah Kiat Pulp & Paper Tbk.,
111,INDS,Indospring Tbk.,
110,INDR,Indo-Rama Synthetics Tbk.,
109,INDF,Indofood Sukses Makmur Tbk.,
108,INCI,Intanwijaya Internasional Tbk,
